,path,event
0,[CLIP_DIR]/HeStutters/0/HeStutters_0_0.wav,NoStutteredWords
1,[CLIP_DIR]/HeStutters/0/HeStutters_0_1.wav,NoStutteredWords
2,[CLIP_DIR]/HeStutters/0/HeStutters_0_2.wav,NoStutteredWords
3,[CLIP_DIR]/HeStutters/0/HeStutters_0_3.wav,NoStutteredWords
4,[CLIP_DIR]/HeStutters/0/HeStutters_0_4.wav,NoStutteredWords
5,[CLIP_DIR]/HeStutters/0/HeStutters_0_5.wav,NoStutteredWords
6,[CLIP_DIR]/HeStutters/0/HeStutters_0_6.wav,NoStutteredWords
7,[CLIP_DIR]/HeStutters/0/HeStutters_0_7.wav,NoStutteredWords
8,[CLIP_DIR]/HeStutters/0/HeStutters_0_8.wav,NoStutteredWords
9,[CLIP_DIR]/HeStutters/0/HeStutters_0_9.wav,NoStutteredWords
10,[CLIP_DIR]/HeStutters/0/HeStutters_0_10.wav,NoStutteredWords
11,[CLIP_DIR]/HeStutters/0/HeStutters_0_11.wav,NoStutteredWords
12,[CLIP_DIR]/HeStutters/0/HeStutters_0_12.wav,NoStutteredWords
13,[CLIP_DIR]/HeStutters/0/HeStutters_0_13.wav,NoStutteredWords
14,[CLIP_DIR]/HeStutters/0/HeStutters_0_14.wav,NoStutteredWords
15,[CLIP_DIR]/HeStutters/0/HeStutters_0_15.wav,NoStutteredWords
16,[CLIP_DIR]/HeStutters/0/HeStutters_0_16.wav,NoStutteredWords
17,[CLIP_DIR]/HeStutters/0/HeStutters_0_17.wav,NoStutteredWords
18,[CLIP_DIR]/HeStutters/0/HeStutters_0_18.wav,NoStutteredWords
19,[CLIP_DIR]/HeStutters/0/HeStutters_0_19.wav,NoStutteredWords
20,[CLIP_DIR]/HeStutters/0/HeStutters_0_20.wav,NoStutteredWords
21,[CLIP_DIR]/HeStutters/0/HeStutters_0_21.wav,NoStutteredWords
22,[CLIP_DIR]/HeStutters/0/HeStutters_0_22.wav,NoStutteredWords
23,[CLIP_DIR]/HeStutters/0/HeStutters_0_23.wav,NoStutteredWords
24,[CLIP_DIR]/HeStutters/0/HeStutters_0_24.wav,NoStutteredWords
25,[CLIP_DIR]/HeStutters/0/HeStutters_0_25.wav,NoStutteredWords
26,[CLIP_DIR]/HeStutters/0/HeStutters_0_26.wav,NoStutteredWords
27,[CLIP_DIR]/HeStutters/0/HeStutters_0_27.wav,SoundRep
28,[CLIP_DIR]/HeStutters/0/HeStutters_0_28.wav,NoStutteredWords
29,[CLIP_DIR]/HeStutters/0/HeStutters_0_29.wav,NoStutteredWords
